Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
1,2013.0,0,94,1.52,0.8880000000000001,0.008,0.2319999999999999,2.64,8.6,7.9,2
0,2003.0,0,26,1.2000000000000002,1.024,0.04,0.368,2.624,8.5,8.7,1
14,2015.0,2,54,2.088,0.264,0.0,0.272,2.624,8.2,7.5,2
0,2003.0,0,3,1.512,0.8400000000000001,0.016,0.248,2.616,7.7,8,2
4,2008.0,11,60,0.48,1.2560000000000002,0.656,0.216,2.608,8.6,9.2,3
14,2015.0,1,26,0.7120000000000001,1.6960000000000002,0.0,0.192,2.6,8.4,4.4,0
7,2008.0,5,60,1.08,0.8880000000000001,0.368,0.256,2.6,6.3,4.6,0
11,2015.0,1,26,1.872,0.24,0.0,0.48,2.5920000000000005,8.3,5.9,0
2,2013.0,4,76,0.576,1.336,0.32,0.352,2.584,8.1,7.7,0
14,2014.0,2,54,1.528,0.8,0.024,0.2319999999999999,2.584,8.5,7.2,2
16,2015.0,6,60,0.944,0.7120000000000001,0.752,0.16,2.568,8.8,8.7,0
